facility_code,facility_name,region,fuel_tech,lat,lon
0BCWF,Boulder Creek,QLD,wind,-23.669964,150.260813
0BSSF,Broadsound,QLD,battery,-22.810001,149.36302
0BUNDSF,Bundaberg,QLD,solar_utility,-24.943515,152.020698
0BUNGAMA,Bungama,SA,battery,-33.191223,138.08733
0CALBESS1,Calala 1,NSW,battery,-31.141287,150.963101
0CALBESS2,Calala 2,NSW,battery,-31.141287,150.963101
0ERB2,Eraring 2,NSW,battery,-33.066837,151.515026
0FULHAMSF,Fulham,VIC,solar_utility,-38.121256,146.973124
0GLENELLEN,Glenellen,NSW,solar_utility,-35.929882,146.909107
0GOORESF,Goorambat,VIC,solar_utility,-36.427352,145.918853
0GPWFWST,Golden Plains West,VIC,wind,-37.90844,143.664887
0GRIVSF,Goulburn River,NSW,battery,-32.282141,150.102488
0GUNSYNDSF,Gunsynd,QLD,solar_utility,-28.408388,150.343437
0HORSHAMSF,Horsham,VIC,battery,-36.71577,142.25956
0KIDSTON,Kidston,QLD,hydro,-18.865892,144.15955
0KINGS_ROCK_WF,Kings Rock,WEM,wind,-32.243655,119.161497
0LANCSF,Lancaster,VIC,solar_utility,-36.290467,145.141535
0LCNBESS,Limestone Coast North,SA,battery,-37.733181,140.840805
0LIDDELLBESS,Liddell,NSW,battery_discharging,-32.37564,150.978578
0LOCKHART,Lockhart,NSW,solar_utility,-35.217506,146.70322
0LOTUSCRKWF,Lotus Creek,QLD,wind,-22.366535,149.27332
0MARYVALE,Maryvale,NSW,solar_utility,-32.465112,148.913306
0MERREDINBESS,Merredin,WEM,battery,-31.539455,118.227167
0MORNBESS,Mornington,VIC,battery,-38.268707,145.204823
0MREH,Melbourne A1,VIC,battery,-37.661274,144.726302
0MREHA2,Melbourne A2,VIC,battery_discharging,-37.663934,144.726927
0MRTLKBESS,Mortlake,VIC,battery,-38.06698,142.669466
0MUCHEABESS,Muchea,WEM,battery,-31.557553,115.963146
0ORANABESS,Orana,NSW,battery,-32.530421,148.962923
0PLWF,Port Latta,TAS,wind,-40.871168,145.357293
0RIVERINASF,Riverina,NSW,solar_utility,-34.309852,146.105225
0SNOWY20,Snowy 2.0,NSW,hydro,-35.745207,148.653852
0STANBESS,Stanwell,QLD,battery,-23.513568,150.31811
0SUMMFBESS,Summerfield,SA,battery,-34.9538,139.21502
0SUPERNODE2,Supernode 2,QLD,battery,-27.449227,153.112538
0SWANBBESS,Swanbank,QLD,battery,-27.65619,152.817139
0TARONGBESS,Tarong,QLD,battery_charging,-26.780051,151.912068
0TERANGBESS,Terang,VIC,battery,-38.231839,142.933262
0TILBSF,Tilbuster,NSW,solar_utility,-30.382963,151.658909
0TOMAGOBESS,Tomago,NSW,battery,-32.814277,151.706523
0UUNGULAWF,Uungula,NSW,wind,-32.551969,149.161325
0WAGERUP_BESS,Wagerup,WEM,battery,-32.918167,115.916584
0WAMBOWF,Wambo,QLD,wind,-26.603045,151.246876
0WDBESS,Williamsdale,NSW,battery,-35.57458,149.131993
0WELLINGTONBESS,Bulabul,NSW,battery,-32.530355,148.969343
0WOORBESS,Wooreen,VIC,battery,-38.27376,146.427729
ADP,Adelaide Desalination,SA,solar_utility,-35.096948,138.484061
AGLHAL,Hallett,SA,gas_ocgt,-33.34931,138.752633
AGLNOW1,West Nowra,NSW,bioenergy_biogas,-34.882318,150.551075
AGLSITA,Kemps Creek,NSW,bioenergy_biogas,-33.874591,150.761858
AGLSOM,Somerton,VIC,gas_ocgt,-37.630949,144.953098
ALBANY,Albany,WEM,wind,-35.065835,117.797506
ALCOA_WGP,Wagerup,WEM,gas_ocgt,-32.904319,115.920431
ALDGASF,Aldoga,QLD,solar_utility,-23.839544,151.0849
ALINTA_PNJ,Pinjarra,WEM,gas_ocgt,-32.64716,115.946851
ALINTA_WWF,Walkaway,WEM,wind,-28.902492,114.892717
AMBRISOLAR,Metro,WEM,solar_utility,-32.103385,115.808456
AMCORGR,Amcor Glass,SA,distillate,-34.882663,138.577975
ANGASTON,Angaston,SA,distillate,-34.503948,139.024296
APPIN,Appin,NSW,gas_wcmg,-34.210868,150.792711
APS,Anglesea,VIC,coal_brown,-38.389031,144.180589
ARWF,Ararat,VIC,wind,-37.263393,143.082116
ATLAS,Mirrabooka,WEM,bioenergy_biogas,-31.864457,115.818295
AVLSF,Avonlie,NSW,solar_utility,-34.919115,146.60954
AWABAREF,Awaba,NSW,bioenergy_biogas,-33.023339,151.551228
B2PS,Braemar 2,QLD,gas_ocgt,-27.109873,150.907653
BADGINGARRA,Badgingarra,WEM,wind,-30.439924,115.324045
BAKING,Baking Board,QLD,solar_utility,-26.721166,150.55417
BALBESS,Ballarat,VIC,battery_charging,-37.567452,143.852741
BANGOWF,Bango,NSW,wind,-34.767208,148.921499
BANKSPT,Bankstown Sports Club,NSW,distillate,-33.919998,151.033742
BANNSP,Bannerton,VIC,solar_utility,-34.67263,142.750362
BAPS,Banimboola,VIC,hydro,-36.534524,147.459788
BARCALDN,Barcaldine,QLD,gas_ccgt,-23.552171,145.314851
BARCSF,Barcaldine,QLD,solar_utility,-23.547333,145.318972
BARKIPS,Barker Inlet,SA,gas_recip,-34.804,138.524
BARRON,Barron Gorge,QLD,hydro,-16.85077,145.647049
BASTYAN,Bastyan,TAS,hydro,-41.736231,145.531589
BAYSW,Bayswater,NSW,coal_black,-32.393502,150.953963
BBASEHOS,Ballarat Hospital,VIC,gas_recip,-37.558774,143.847247
BBATTERY,Bouldercombe,QLD,battery_discharging,-23.563443,150.459658
BBDISEL1,Bell Bay,TAS,distillate,-41.127009,146.874083
BBP31,Bell Bay Three,TAS,gas_ocgt,-41.139324,146.905522
BDONGHYD,Burrendong,NSW,hydro,-32.664647,149.108016
BELLBAY,Bell Bay,TAS,gas_steam,-41.141944,146.9025
BERWICK,Berwick,VIC,bioenergy_biogas,-37.940819,145.236257
BERYLSF,Beryl,NSW,solar_utility,-32.347501,149.460738
BHB,Broken Hill Battery,NSW,battery_charging,-31.9863,141.4204
BHILLGT,Broken Hill,NSW,distillate,-31.986313,141.42062
BHWF,Bald Hills,VIC,wind,-38.758189,145.956062
BIALAWF,Biala,NSW,wind,-34.587836,149.369848
BIOGAS01,Richgro,WEM,bioenergy_biogas,-32.103786,115.895771
BLAIRFOX_BEROSRD_WF,Beros Road,WEM,wind,-29.957885,115.362947
BLAIRFOX_KARAKIN,Karakin,WEM,wind,-30.942242,115.366613
BLAIRFOX_WESTHILLS,West Hills,WEM,wind,-30.858103,115.463261
BLAYNEY,Blayney,NSW,wind,-33.621944,149.198333
BLUEGSF,Blue Grass,QLD,solar_utility,-26.691708,150.500037
BLUEWATERS,Bluewaters,WEM,coal_black,-33.330674,116.225958
BLUFF,The Bluff,SA,wind,-33.367741,138.79379
BLULAKE,Blue Lake Milling,SA,distillate,-36.316597,140.757571
BLYTHB,Blyth,SA,battery,-33.848475,138.403204
BNGSF1,Bungala One,SA,solar_utility,-32.423316,137.841798
BNGSF2,Bungala Two,SA,solar_utility,-32.406993,137.840933
BOCOROCK,Boco Rock,NSW,wind,-36.574527,149.124863
BODWF,Bodangora,NSW,wind,-32.407128,149.04133
BOLIVAR,Bolivar,SA,battery,-34.495482,138.387641
BOLIVPS,Bolivar,SA,gas_ocgt,-34.7772,138.5826
BOMENSF,Bomen,NSW,solar_utility,-35.0486,147.4439
BPLANDF,Browns Plains,QLD,bioenergy_biogas,-27.674584,153.068499
BRAEMARA,Braemar,QLD,gas_ocgt,-27.111669,150.907647
BREMER_BAY,Bremer Bay,WEM,wind,-34.399033,119.389377
BRIDGETOWN_BIOMASS_PLANT,Manjimup,WEM,bioenergy_biomass,-34.333151,116.108521
BRNDBES,Brendale,QLD,battery,-27.329333,152.974384
BROADMDW,Broadmeadows,VIC,bioenergy_biogas,-37.685081,144.966114
BROKENH,Broken Hill,NSW,solar_utility,-31.988905,141.391547
BROOKLYN,Brooklyn,VIC,bioenergy_biogas,-37.818597,144.828492
BROWNMT,Brown Mountain,NSW,hydro,-36.594993,149.473997
BRYB1WF1,Berrybank,VIC,wind,-37.980741,143.472217
BULGANA,Bulgana Green Power Hub,VIC,battery,-37.039507,142.982799
BURRIN,Burrinjuck,NSW,hydro,-35.003532,148.579891
BUTLERSG,Butlers Gorge,TAS,hydro,-42.267107,146.262127
BWTR1,Broadwater,NSW,bioenergy_biomass,-29.016483,153.445756
CALLIDEC1,Callide C,QLD,coal_black,-24.347222,150.608611
CALL_A,Callide A,QLD,coal_black,-24.333169,150.626322
CALL_B,Callide B,QLD,coal_black,-24.333169,150.626322
CANUNDA1,Canunda,SA,wind,-37.698303,140.383633
CAPBES,Capital,NSW,battery_charging,-35.339434,149.216065
CAPTL_WF,Capital,NSW,wind,-35.123534,149.500249
CATHROCK,Cathedral Rocks,SA,wind,-34.848741,135.592649
CBWF,Coonoer Bridge,VIC,wind,-36.472722,143.322039
CBWWBA,Christies Beach,SA,battery,-35.125958,138.47135
CESF,Capital East,NSW,solar_utility,-35.180684,149.546482
CETHANA,Cethana,TAS,hydro,-41.479852,146.134472
CHALLWF,Challicum Hills,VIC,wind,-37.395466,143.10459
CHBESS,Chinchilla,QLD,battery_charging,-26.918551,150.745399
CHILDSF,Childers,QLD,solar_utility,-25.295027,152.403674
CHPSTWF,Chepstowe,VIC,wind,-37.596503,143.499582
CHYTWF,Cherry Tree,VIC,wind,-37.1018,145.2656
CLARESF,Clare,QLD,solar_utility,-19.83977,147.21055
CLAYTON,Clayton,VIC,bioenergy_biogas,-37.950618,145.119681
CLEMGPWF,Clements Gap,SA,wind,-33.489773,138.111695
CLERMSF,Clermont,QLD,solar_utility,-22.839406,147.546031
CLOVER,Clover,VIC,hydro,-36.78515,147.219517
CLRKCWF,Clarke Creek,QLD,wind,-22.850446,149.453252
CLUNY,Cluny,TAS,hydro,-42.506229,146.681123
COCKBURN,Cockburn,WEM,gas_ccgt,-32.200134,115.773988
CODRGTON,Codrington,VIC,wind,-38.282875,141.95496
COHUNSF1,Cohuna,VIC,solar_utility,-35.880317,144.221531
COLEASF,Coleambally,NSW,solar_utility,-34.759494,145.92984
COLLIE,Collie,WEM,coal_black,-33.341509,116.262185
COLLIE_BESS2,Collie 2,WEM,battery,-33.303201,116.296291
COLLIE_ESR,Collie 1,WEM,battery_discharging,-33.311307,116.293545
COLLIE_ESR4,Collie,WEM,battery,-33.33752,116.258783
COLNSV,Collinsville,QLD,coal_black,-20.543333,147.806944
COLONGRA,Colongra,NSW,gas_ocgt,-33.208781,151.54354
COLUMSF,Columboola,QLD,solar_utility,-26.636088,150.28221
COLWF01,Collector,NSW,wind,-34.823879,149.396795
CONDONG1,Condong,NSW,bioenergy_biomass,-28.314766,153.433808
COOPGWF,Coopers Gap,QLD,wind,-26.717004,151.449177
COPTNHYD,Copeton,NSW,hydro,-29.907544,150.930235
CORIO,Corio,VIC,bioenergy_biogas,-38.059048,144.404905
CPSA,Condamine A,QLD,gas_ccgt,-26.666673,150.268581
CROOKWEL,Crookwell,NSW,wind,-34.5165,149.54248
CROOKWF2,Crookwell 2,NSW,wind,-34.547676,149.589254
CROOKWF3,Crookwell 3,NSW,wind,-34.484645,149.54447
CROWLWF,Crowlands,VIC,wind,-36.97615,143.097998
CRURWF1,Crudine Ridge,NSW,wind,-32.864748,149.81297
CRWASF1,Corowa,NSW,solar_utility,-35.98629,146.361456
CSPVPS,Collinsville,QLD,solar_utility,-20.55714,147.820552
CTHLWF,Cattle Hill,TAS,wind,-42.154845,146.694693
CULCSF,Culcairn,NSW,solar_utility,-35.709592,146.981761
CULLERIN,Cullerin Range,NSW,wind,-34.750995,149.381027
DAANDINE,Daandine,QLD,gas_recip,-27.086294,150.942528
DALNTH,Dalrymple North,SA,battery_charging,-34.888446,137.758114
DARLSF,Darlington Point,NSW,solar_utility,-34.644808,146.035756
DARTM,Dartmouth,VIC,hydro,-36.55529,147.519872
DAYDSF,Daydream,QLD,solar_utility,-20.512804,147.691968
DCWL_DENMARK,Denmark,WEM,wind,-35.036971,117.319012
DDPS1,Darling Downs,QLD,gas_ccgt,-27.116851,150.895391
DDSF,Darling Downs,QLD,solar_utility,-27.112,150.8819
DEIBDL,Bairnsdale,VIC,gas_ocgt,-37.842231,147.563725
DEVILS_G,Devils Gate,TAS,hydro,-41.349925,146.262709
DIAPURWF,Diapur 2,VIC,wind,-36.339953,141.447361
DPNTB,Darlington Point,NSW,battery_charging,-34.646668,146.034982
DRYCGT,Dry Creek,SA,gas_ocgt,-34.847293,138.582297
DULAWF,Dulacca,QLD,wind,-26.637485,149.870186
DUNDWF,Dundonnell,VIC,wind,-37.863894,142.943454
EASTCRK,Eastern Creek,NSW,bioenergy_biogas,-33.815468,150.854307
EASTCRK2,Eastern Creek 2,NSW,bioenergy_biogas,-33.815468,150.854307
EDENVSF,Edenvale,QLD,solar_utility,-26.947486,150.578494
EDLRGNRD,Roghan Road,QLD,bioenergy_biogas,-27.342062,153.049494
EDWFMAN,Emu Downs,WEM,wind,-30.475647,115.379052
EILDON,Eildon,VIC,hydro,-37.221262,145.920966
EILDONPD,Eildon,VIC,hydro,-37.221774,145.922582
ELAINEWF,Elaine,VIC,wind,-37.6352,144.0237
EMERASF,Emerald,QLD,solar_utility,-23.50879,148.128017
ENERGYB,Energy Brix,VIC,coal_brown,-38.254444,146.413611
ERARING,Eraring,NSW,coal_black,-33.061548,151.524612
ERB,Eraring,NSW,battery_discharging,-33.066837,151.515026
ERGT01,Eraring,NSW,distillate,-33.062117,151.517224
FINLEYSF,Finley,NSW,solar_utility,-35.64421,145.508644
FISHER,Fisher,TAS,hydro,-41.672662,146.268739
FLATROCKS,Flat Rocks,WEM,wind,-33.992789,117.354335
FLYCRKWF,Flyers Creek,NSW,wind,-33.521475,149.045234
FWF,Ferguson,VIC,wind,-38.610902,143.179321
GANGARR,Gangarri,QLD,solar_utility,-26.254813,149.986704
GANNBESS,Gannawarra,VIC,battery,-33.735056,143.779462
GANNSF,Gannawarra,VIC,solar_utility,-35.73,143.7711
GEORGTWN,George Town,TAS,distillate,-41.091063,146.893204
GERMCRK,German Creek,QLD,gas_wcmg,-22.928526,148.549097
GIRGSF,Girgarre,VIC,solar_utility,-26.2548,149.9867
GLBWNHYD,Glenbawn,NSW,hydro,-32.107937,150.999481
GLENMAGG,Glenmaggie,VIC,hydro,-37.904836,146.800388
GLENNCRK,Glennies Creek,NSW,gas_wcmg,-32.464343,151.130432
GLENSF,Glenrowan,VIC,solar_utility,-36.464,146.221
GLRWNSF,Glenrowan West,VIC,solar_utility,-36.488083,146.146887
GNNDHSF,Gunnedah,NSW,solar_utility,-30.965469,150.367917
GOONUMSF,Goonumbla,NSW,solar_utility,-33.106413,148.099274
GORDON,Gordon,TAS,hydro,-42.740157,145.983375
GOSNELLS,Gosnells,WEM,bioenergy_biogas,-32.079514,115.895088
GPWFEST,Golden Plains East,VIC,wind,-37.9729,143.783
GRANGEAV,Grange Avenue,NSW,bioenergy_biogas,-33.713011,150.83316
GRANWF,Granville Harbour,TAS,wind,-41.802,145.056
GRASMERE,Grasmere,WEM,wind,-35.065835,117.797506
GREENB,Greenbank,QLD,battery_discharging,-27.733562,152.955042
GREENOUGH_RIVER,Greenough River,WEM,solar_utility,-28.90381,115.10937
GRIFSF,Griffith,NSW,solar_utility,-34.317414,146.120739
GROSV1,Grosvenor 1,QLD,gas_wcmg,-21.929194,148.032416
GROSV2,Grosvenor 2,QLD,gas_wcmg,-21.929194,148.032416
GSTONE,Gladstone,QLD,coal_black,-23.848741,151.220787
GSWF,Goyder South,SA,wind,-33.682196,138.936249
GULLRGWF,Gullen Range,NSW,solar_utility,-34.624512,149.458549
GUNNING,Gunning,NSW,wind,-34.676361,149.66443
HALAMRD,Hallam Road,VIC,bioenergy_biogas,-38.052181,145.267798
HALLWF,Hallett 1,SA,wind,-33.328434,138.704669
HALLWF2,Hallett 2,SA,wind,-33.53821,138.857215
HAMISF,Hamilton,QLD,solar_utility,-20.468593,147.799484
HAMPTON,Hampton,NSW,wind,-33.649722,150.05
HASTING,Hastings,VIC,gas_ocgt,-38.295952,145.221926
HAUGHT1,Haughton,QLD,solar_utility,-19.732168,147.076137
HAYMSF,Hayman,QLD,solar_utility,-20.487516,147.744778
HAZEL,Hazelwood,VIC,coal_brown,-38.270575,146.389794
HBESS,Hazelwood BESS,VIC,battery,-38.269216,146.394724
HD1WF,Hawkesdale,VIC,wind,-38.148008,142.360925
HENDERSON_RENEWABLE,Henderson,WEM,bioenergy_biogas,-32.164003,115.790695
HEPWIND,Hepburn,VIC,wind,-37.424555,144.115711
HEZ,Hunter Economic Zone,NSW,distillate,-32.835481,151.451033
HILLSTN,Hillston Sun,NSW,solar_utility,-33.532991,145.522279
HLMSEW01,Hallam,VIC,hydro,-38.143332,145.119964
HORNSDAL,Hornsdale,SA,wind,-33.05982,138.537673
HORNSDAL2,Hornsdale 2,SA,wind,-33.05982,138.537673
HORNSDAL3,Hornsdale 3,SA,wind,-33.05982,138.537673
HORNSDPR,Hornsdale Power Reserve,SA,battery,-33.085519,138.521914
HUGSF,Hughenden,QLD,solar_utility,-20.854794,144.186048
HUMENSW,Hume,NSW,hydro,-36.106383,147.032263
HUMEV,Hume,VIC,hydro,-36.106887,147.032572
HUNTER,Hunter,NSW,gas_ocgt,-32.793406,151.478353
HUNTVGT,Hunter Valley,NSW,distillate,-32.389989,150.965963
HVWW,Happy Valley,SA,battery_discharging,-35.063118,138.56476
ICSM,Isis Central Sugar Mill,QLD,bioenergy_biomass,-25.197619,152.206949
INVESTEC_COLLGAR,Collgar,WEM,wind,-31.59751,118.490597
INVICTA,Invicta Sugar Mill,QLD,bioenergy_biomass,-19.51579,147.10653
JACKSGUL,Jacks Gully,NSW,bioenergy_biogas,-34.072955,150.743691
JBUTTERS,John Butters,TAS,hydro,-42.15589,145.536508
JEERA,Jeeralang A,VIC,gas_ocgt,-38.275111,146.427046
JEERB,Jeeralang B,VIC,gas_ocgt,-38.273845,146.424827
JEMALNG1,Jemalong,NSW,solar_utility,-33.388764,147.669375
JNDSHPS,Jindabyne,NSW,hydro,-36.434918,148.63057
JOUNAMA,Jounama,NSW,hydro,-35.561274,148.306384
JUNEESF,Junee,NSW,solar_utility,-34.81124,147.572099
KABANWF,Kaban,QLD,wind,-17.560606,145.413125
KALAMUNDA_SG,Kalamunda,WEM,bioenergy_biogas,-32.003292,116.074885
KALBARRI,Kalbarri,WEM,wind,-27.898303,114.192354
KAREEYA,Kareeya,QLD,hydro,-17.766456,145.576884
KARSF,Karadoc,VIC,solar_utility,-34.227904,142.28033
KEEPIT,Keepit,NSW,hydro,-30.87868,150.491876
KEMERTON,Kemerton,WEM,gas_ocgt,-33.163566,115.781132
KENNEDY,Kennedy Energy Park,QLD,battery_discharging,-20.872792,144.413034
KERNGSP,Kerang,VIC,solar_utility,-35.779895,143.941051
KESS1,Koorangie,VIC,battery,-35.735367,143.754813
KIAMSF1,Kiamal,VIC,solar_utility,-35.018133,142.302953
KIATAWF,Kiata,VIC,wind,-36.397693,141.746827
KINCUMB,Kincumber,NSW,bioenergy_biogas,-33.477111,151.402603
KINGASF,Kingaroy,QLD,solar_utility,-26.537087,151.890398
KOGANCK,Kogan Creek,QLD,coal_black,-26.915285,150.748948
KRCCOGEN,KRC Cogen,QLD,gas_ocgt,-27.57359,151.926883
KSP1,Kidston,QLD,solar_utility,-18.88,144.151
KWINANA,Kwinana,WEM,gas_ocgt,-32.197245,115.775445
