facility_code,facility_name,region,fuel_tech,lat,lon
KWINANA_ESR,Kwinana Battery,WEM,battery,-32.19832,115.778606
KWINANA_ESR2,Kwinana Battery 2,WEM,battery_charging,-32.20247,115.778625
LADBROKE,Ladbroke Grove,SA,gas_ocgt,-37.456183,140.782699
LBBESS,Lake Bonney,SA,battery_charging,-37.738787,140.384672
LEM_WIL,Lemonthyme / Wilmot,TAS,hydro,-41.483135,146.125338
LGAPWF1,Lincoln Gap,SA,wind,-32.546333,137.552763
LIDDELL,Liddell,NSW,coal_black,-32.369027,150.980112
LILYVASF,Lilyvale,QLD,solar_utility,-23.070504,148.413865
LIMBESS,Limondale,NSW,battery,-34.769354,143.559464
LIMOSF1,Limondale,NSW,solar_utility,-34.775502,143.508046
LIMOSF2,Limondale 2,NSW,solar_utility,-34.775502,143.508046
LI_WY_CA,Catagunya / Liapootah / Wayatinah,TAS,hydro,-42.376131,146.509824
LKBONNY1,Lake Bonney,SA,wind,-37.760504,140.405541
LKBONNY3,Lake Bonney 3,SA,wind,-37.760504,140.405541
LKBONNY_2,Lake Bonney 2,SA,wind,-37.760504,140.405541
LK_ECHO,Lake Echo,TAS,hydro,-42.253339,146.620515
LNGS,Laverton North,VIC,gas_ocgt,-37.841693,144.788006
LONGFORD,Longford,VIC,gas_ocgt,-38.223244,147.1631
LONSDALE,Lonsdale,SA,distillate,-35.109718,138.490962
LOYYANGA,Loy Yang A,VIC,coal_brown,-38.250622,146.576361
LOYYB,Loy Yang B,VIC,coal_brown,-38.253619,146.585593
LRSF,Longreach,QLD,solar_utility,-23.455048,144.227917
LUCAS2S2,Lucas Heights 2,NSW,bioenergy_biogas,-34.044088,150.972475
LUCASHGT,Lucas Heights,NSW,bioenergy_biogas,-34.04829,150.973916
LVES,Latrobe Valley,VIC,battery_discharging,-38.258183,146.418614
MACARTH,Macarthur,VIC,wind,-38.043483,142.179081
MACKAY,Mackay,QLD,distillate,-21.144441,149.159171
MACKNTSH,Mackintosh,TAS,hydro,-41.701363,145.646558
MANNSF,Mannum 2,SA,solar_utility,-34.9144,139.2681
MANNUMB,Mannum,SA,battery,-34.917537,139.262695
MANSLR,Manildra,NSW,solar_utility,-33.172831,148.71824
MAPS2,Mannum Pumping Station,SA,solar_utility,-34.920217,139.314438
MAROOWF1,Maroona,VIC,wind,-37.41875,142.82434
MARYRSF,Maryrorough,QLD,solar_utility,-27.708973,151.546869
MBAHNTH,Moranbah North,QLD,gas_wcmg,-21.978481,148.004809
MBPS2,Murray Bridge-Onkaparinga,SA,solar_utility,-35.094093,139.211511
MCINTYR,MacIntyre,QLD,wind,-28.2163,152.0327
MCKAY,Bogong / Mackay,VIC,hydro,-36.805471,147.227845
MEADOWBK,Meadowbank,TAS,hydro,-42.610835,146.846388
MERSOLAR,Merredin,WEM,solar_utility,-31.54515,118.228147
METZSF,Metz N,NSW,solar_utility,-30.4915,151.6701
MEWF,Mt Emerald,QLD,wind,-17.133248,145.380037
MIDDLSF1,Middlemount,QLD,solar_utility,-22.822235,148.720115
MIDLDPS,Midlands,TAS,hydro,-42.085747,147.274558
MILLMERN,Millmerran,QLD,coal_black,-27.961657,151.28091
MINTARO,Mintaro,SA,gas_ocgt,-33.903149,138.738797
MLLFGEF,Mugga Lane,NSW,bioenergy_biogas,-35.38517,149.137937
MLSP,Mugga Lane,NSW,solar_utility,-35.398441,149.14906
MLWF,Mortons Lane,VIC,wind,-37.833186,142.465288
MM,Munmorah,NSW,coal_black,-33.211781,151.542161
MOKOSF,Mokoan,VIC,solar_utility,-36.487519,146.122634
MOLNGSF1,Molong,NSW,solar_utility,-33.082578,148.900073
MOORAWF1,Moorabool,VIC,wind,-37.739433,144.171985
MORANBAH,Moranbah,QLD,gas_recip,-21.962469,148.006004
MOREESF,Moree,NSW,solar_utility,-29.572607,149.861266
MORNW,Mornington Disposal,VIC,bioenergy_biogas,-38.392054,144.854791
MORTLK,Mortlake,VIC,gas_ocgt,-38.062628,142.66633
MOUSF,Moura,QLD,solar_utility,-24.509628,150.076648
MP,Mt Piper,NSW,coal_black,-33.360715,150.035698
MREHA3,Melbourne A3,VIC,battery,-37.663819,144.726859
MRTLSWF,Mortlake South,VIC,wind,-38.147965,142.882246
MSTUART,Mt Stuart,QLD,distillate,-19.337156,146.851239
MTGELWF,Mt Gellibrand,VIC,wind,-38.257657,143.798651
MTMERCER,Mt Mercer,VIC,wind,-37.847593,143.870183
MTMILLAR,Mt Millar,SA,wind,-33.619342,136.717568
MUCRKSF,Munna Creek,QLD,solar_utility,-25.882106,152.459626
MUJA,Muja CD,WEM,coal_black,-33.445811,116.306655
MUJA_AB,Muja AB,WEM,coal_black,-33.445811,116.306655
MUNGARRA,Mungarra,WEM,gas_ocgt,-28.887899,115.115999
MURRAY,Murray,VIC,hydro,-36.245992,148.188552
MUSSELRO,Musselroe,TAS,wind,-40.777105,148.006315
MUWAWF,Murra Warra,VIC,wind,-36.438821,142.246003
MWF_MUMBIDA,Mumbida,WEM,wind,-29.011063,114.966228
MWPS,Morganwhyalla Pipeline,SA,solar_utility,-33.97382,139.193756
NAMKKN_MERR,Merredin,WEM,gas_ocgt,-31.54265,118.226866
NASF,Narromine,NSW,solar_utility,-32.218323,148.254523
NBHWF,North Brown Hill,SA,wind,-33.228116,138.716888
NEVERSF,Nevertire,NSW,solar_utility,-31.831044,147.705178
NEWENSF,New England,NSW,battery,-30.627323,151.556425
NEWGEN_KWINANA,Newgen Kwinana,WEM,gas_ccgt,-32.201951,115.773172
NEWGEN_NEERABUP,Neerabup,WEM,gas_ocgt,-31.671178,115.79885
NEWPORT,Newport,VIC,gas_steam,-37.841374,144.895479
NINEWIL,Willoughby,NSW,distillate,-33.810858,151.196599
NORTHAM_SF,Northam,WEM,solar_utility,-31.65161,116.711541
NORTHP,Northern,SA,coal_brown,-32.5429,137.7874
NPPPPS,Pelican Point,SA,gas_ccgt,-34.764365,138.505399
NUMURKSF,Numurkah,VIC,solar_utility,-36.159275,145.473891
NYNGAN,Nyngan,NSW,solar_utility,-31.563191,147.074195
OAKEY,Oakey,QLD,gas_ocgt,-27.418207,151.678887
OAKEY1SF,Oakey Solar Farm,QLD,solar_utility,-27.402454,151.642576
OAKEY2SF,Oakey 2,QLD,solar_utility,-27.402454,151.642576
OAKLAND,Oaklands Hill,VIC,wind,-37.679481,142.552995
OAKY2,Oaky Creek 2,QLD,gas_wcmg,-23.048717,148.484462
OCPS,Oaky Creek,QLD,gas_recip,-23.048717,148.484462
OSBORNE,Osborne,SA,gas_ccgt,-34.7977,138.508099
PALOONA,Paloona,TAS,hydro,-41.28268,146.24858
PAREPW,Port Augusta Energy Park,SA,solar_utility,-32.595609,137.885629
PEDLER,Pedler Creek,SA,bioenergy_biogas,-35.202388,138.501214
PERTHENERGY_KWINANA,Kwinana Swift,WEM,gas_ocgt,-32.223992,115.778516
PHOENIX_KWINANA_WTE,Phoenix,WEM,bioenergy_biomass,-32.210173,115.777241
PIBESS,Phillip Island,VIC,battery,-38.483293,145.22488
PINDARI,Pindari,NSW,hydro,-29.388034,151.244774
PINJAR,Pinjar,WEM,gas_ocgt,-31.558545,115.818512
PIONEER,Pioneer Sugar Mill,QLD,bioenergy_biomass,-19.557546,147.330825
PLAYF,Playford B,SA,coal_brown,-32.538886,137.781822
PMATTAEP,Earthpower,NSW,gas_recip,-33.824397,151.042142
PORTLATT,Port Latta,TAS,distillate,-40.857362,145.384824
PORTLCN,Port Lincoln,SA,distillate,-34.700616,135.80453
PORTWF,Portland,VIC,wind,-38.361417,141.38456
PRDSO_WALPOLE,Walpole,WEM,hydro,-34.988023,116.722925
PRK_AG,Parkeston,WEM,gas_ocgt,-30.738009,121.506264
PSF,Parkes,NSW,solar_utility,-33.113056,148.076372
PTINA,Poatina,TAS,hydro,-41.805073,146.924365
QBYNB,Queanbeyan,NSW,battery,-35.339311,149.215101
QP,Quorn Park,NSW,solar_utility,-33.079517,148.089521
QUARANTN,Quarantine,SA,gas_ocgt,-34.779074,138.522455
QUERIVER,Que River,TAS,distillate,-41.610502,145.544305
RACOMIL,Racecourse Mill,QLD,bioenergy_biomass,-21.163842,149.135738
RANGEB,Rangebank,VIC,battery_discharging,-38.0852,145.259434
REDBANK1,Redbank,NSW,coal_black,-32.58,151.072
RED_HILL,Red Hill,WEM,bioenergy_biogas,-31.830628,116.100888
REECE,Reece,TAS,hydro,-41.723131,145.136468
REMOUNT,Remount,TAS,bioenergy_biogas,-41.398447,147.1495
REPULSE,Repulse,TAS,hydro,-42.507987,146.64717
RESS,Riverina 1,NSW,battery_charging,-34.646668,146.034982
RIVNB,Riverina 2,NSW,battery,-34.646624,146.035025
ROCHEDAL,Rochedale,QLD,bioenergy_biogas,-27.555798,153.123155
ROCKINGHAM,Rockingham,WEM,bioenergy_biogas,-32.287538,115.815885
ROMA,Roma,QLD,gas_ocgt,-26.576788,148.839485
ROWALLAN,Rowallan,TAS,hydro,-41.72957,146.218087
ROYALLA,Royalla,NSW,solar_utility,-35.486052,149.141966
RPCG,Rocky Point Cogen,QLD,bioenergy_biomass,-27.733564,153.326464
RRSF,Ross River,QLD,solar_utility,-19.425305,146.715686
RUBICON,Rubicon,VIC,hydro,-37.292453,145.818202
RUGBYR,Rugby Run,QLD,solar_utility,-21.940469,147.880877
RYANCWF,Ryan Corner,VIC,wind,-38.271156,142.14003
RYEPARK,Rye Park,NSW,wind,-34.63317,148.95364
SALTCRK,Salt Creek,VIC,wind,-37.918698,142.796027
SAPHWF1,Sapphire,NSW,wind,-29.710273,151.44558
SATGN,Temporary Generation North,SA,distillate,-34.719707,138.668425
SATGS,Temporary Generation South,SA,distillate,-35.096799,138.483997
SBSOLAR1_CUNDERDIN_PV,Cunderdin,WEM,solar_utility,-31.655007,117.273164
SEBSF,Sebastopol,NSW,solar_utility,-34.603287,147.554757
SHEP1,Shepparton,VIC,bioenergy_biogas,-36.322223,145.379291
SHOAL,Shoalhaven Starches,NSW,gas_ocgt,-34.8547,150.6138
SHOALHAV,Shoalhaven,NSW,pumps,-34.733085,150.4667
SITHE,Smithfield,NSW,gas_ccgt,-33.850023,150.950051
SKSF,South Keswick,NSW,solar_utility,-32.27286,148.649836
SKYFRM_MTBARKER,Mount Barker,WEM,wind,-34.601163,117.643904
SLDCBLK,St Leonards Data Centre,TAS,battery_charging,-41.440151,147.174429
SMCSF,Sun Metals,QLD,solar_utility,-19.437318,146.696015
SMTHBES1,Smithfield,NSW,battery_charging,-33.849972,150.947448
SNAPPER,Snapper Point,SA,gas_ocgt,-34.76452,138.50819
SNB1,Supernode,QLD,battery_discharging,-27.458521,153.111745
SNOWNTH,Snowtown North,SA,wind,-33.756479,138.143043
SNOWSTH,Snowtown South,SA,wind,-33.862624,138.130367
SNOWTOWN,Snowtown,SA,wind,-33.691598,138.166022
SNOWY2,Tumut,NSW,hydro,-35.953492,148.369693
SNOWY3,Guthega,NSW,hydro,-36.349772,148.41403
SNOWY6,Blowering,NSW,hydro,-35.397402,148.247225
SNUG,Snuggery,SA,distillate,-37.664996,140.414686
SNWYGJP2,Jindabyne Pump At Guthega,NSW,pumps,-36.434918,148.63057
SOUTH_CARDUP,South Cardup,WEM,bioenergy_biogas,-32.26642,116.019263
SRSF,Susan River,QLD,solar_utility,-25.420275,152.742028
STANVAC,Port Stanvac,SA,distillate,-35.110345,138.490872
STANWELL,Stanwell,QLD,coal_black,-23.507501,150.317884
STAPYLTON,Stapylton,QLD,bioenergy_biogas,-27.736111,153.245931
STARFHILL,Starfish Hill,SA,wind,-35.578983,138.139653
STGEORGE,St George Leagues Club,NSW,distillate,-33.974819,151.129354
STHBKTEC,Southbank Institute Of Technology,QLD,distillate,-27.480589,153.020999
STHRNCRS,Kambalda,WEM,gas_ocgt,-31.191903,121.671901
STOCKYD,Stockyard Hill,VIC,wind,-37.53568,143.252548
STUBSF,Stubbo,NSW,solar_utility,-32.26254,149.589068
STWF,Silverton,NSW,wind,-31.86095,141.296349
SUNRSF1,Sunraysia,NSW,solar_utility,-34.821489,143.50916
SUNTPSF,Suntop,NSW,solar_utility,-32.5742,148.860469
SVALE,Springvale,VIC,bioenergy_biogas,-37.973375,145.139695
SWAN_B,Swanbank B,QLD,coal_black,-27.655286,152.818644
SWAN_E,Swanbank E,QLD,gas_ccgt,-27.655286,152.818644
TABMILL2,Tableland Mill,QLD,bioenergy_biomass,-17.119813,145.34513
TAHMOOR,Tahmoor,NSW,gas_wcmg,-34.249117,150.577718
TALLAWAR,Tallawarra,NSW,gas_ccgt,-34.523089,150.808566
TALWB,Tallawarra B,NSW,gas_ocgt,-34.524833,150.806579
TAMALA_PARK,Tamala Park,WEM,bioenergy_biogas,-31.706198,115.725734
TARALGA,Taralga,NSW,wind,-34.425387,149.859603
TARONG,Tarong,QLD,coal_black,-26.774397,151.917838
TARONGN,Tarong North,QLD,coal_black,-26.774397,151.917838
TARRALEA,Tarraleah,TAS,hydro,-42.301736,146.456661
TATIARA,Tataria,SA,distillate,-36.326977,140.737035
TATURA,Tatura,VIC,bioenergy_biogas,-36.47915,145.235037
TB2SF,Tailem Bend 2,SA,battery_charging,-35.28,139.49
TBSF,Tailem Bend,SA,solar_utility,-35.28,139.49
TEMPB,Templers,SA,battery,-34.464594,138.77013
TERALBA,Teralba,NSW,gas_wcmg,-32.945557,151.612042
TERMSTOR,Terminal,SA,hydro,-34.84014,138.712137
TESLA_GERALDTON,Geraldton,WEM,distillate,-28.790815,114.691831
TESLA_KEMERTON,Kemerton,WEM,distillate,-33.211662,115.76057
TESLA_NORTHAM,Northam,WEM,distillate,-31.642906,116.847503
TESLA_PICTON,Picton,WEM,distillate,-33.356646,115.72098
TGNSS,Traralgon Network Support,VIC,gas_recip,-37.833513,144.965955
THEDROP,The Drop,NSW,hydro,-35.973527,145.999274
TIB,Torrens Island,SA,battery_discharging,-34.805831,138.524192
TIMWEST,Timboon West,VIC,wind,-38.528351,142.916231
TITREE,Veolia Ti Tree,QLD,bioenergy_biogas,-27.695551,152.650313
TIWEST_COG1,Kwinana Cogen,WEM,gas_ocgt,-32.229051,115.774411
TOORAWF,Toora,VIC,wind,-38.653528,146.339774
TORRIS,Torrens Island,SA,gas_steam,-34.804559,138.522229
TOWER,Tower,NSW,gas_wcmg,-34.219461,150.718012
TREVALLN,Trevallyn,TAS,hydro,-41.422302,147.112025
TRIBUTE,Tribute,TAS,hydro,-41.811468,145.653252
TULLYSM,Tully Sugar Mill,QLD,bioenergy_biomass,-17.937329,145.92739
TUMUT3,Tumut 3,NSW,pumps,-35.610817,148.292644
TUNGATIN,Tungatinah,TAS,hydro,-42.296396,146.455881
TVCCPS,Tamar Valley,TAS,gas_ccgt,-41.139268,146.906185
ULBESS,Ulinda Park,QLD,battery_charging,-26.92635,150.717472
URANQ,Uranquinty,NSW,gas_ocgt,-35.180226,147.21566
VALDORA,Sunshine Coast,QLD,solar_utility,-26.560799,153.025947
VBB,Victorian Big Battery,VIC,battery_charging,-38.03828,144.291003
VICMILL,Victoria Mill,QLD,bioenergy_biomass,-18.650208,146.200866
VP,Vales Point B,NSW,coal_black,-33.164639,151.544116
VPGS,Valley Power Peaking,VIC,gas_ocgt,-38.252601,146.588906
WAGGNSF,Wagga North,NSW,solar_utility,-35.069081,147.438227
WALGRV,Wallgrove,NSW,battery,-33.817476,150.827276
WANDBG,Wandoan South,QLD,battery_charging,-26.263986,149.772871
WANDSF,Wandoan,QLD,solar_utility,-26.263564,149.772243
WARRADARGE,Warradarge,WEM,wind,-30.041742,115.346019
WARWSF,Warwick,QLD,solar_utility,-28.18321,152.066792
WATERLWF,Waterloo,SA,wind,-33.991095,138.915723
WAUBRAWF,Waubra,VIC,wind,-37.357979,143.5926
WDBESS,Western Downs,QLD,battery,-26.952008,150.694188
WDBESS2,Western Downs 2,QLD,battery_charging,-26.951989,150.694141
WDGPH,Western Downs,QLD,solar_utility,-26.927922,150.601542
WDLNGN,Woodlawn,NSW,bioenergy_biogas,-35.05928,149.5749
WELLSF1,Wellington,NSW,solar_utility,-32.5207,148.9675
WELNSF,Wellington North,NSW,solar_utility,-32.514353,148.957634
WEMENSF1,Wemen,VIC,solar_utility,-34.80259,142.543348
WESTCBT,Western Suburbs League Club,NSW,distillate,-34.051073,150.832757
WESTILLA,West Illawarra Leagues Club,NSW,distillate,-34.451645,150.843037
WEST_KALGOORLIE,West Kalgoorlie,WEM,distillate,-30.780403,121.421519
WG,Warragamba,NSW,hydro,-33.883064,150.595436
WGWF,Willogoleche,SA,wind,-33.393569,138.84821
WHIT1,Whitwood Road,QLD,bioenergy_biogas,-27.620454,152.824409
WHITSF,Whitsunday,QLD,solar_utility,-20.537259,147.80475
WILGAPK,Wilga Park,NSW,gas_recip,-30.314444,149.652768
WILGAPKB,Wilga Park B,NSW,gas_recip,-30.314444,149.652768
WILLHOV,William Hovel,VIC,hydro,-36.925216,146.389418
WINDHILL,Windy Hill,QLD,wind,-17.590399,145.52968
WINGF1,Wingfield,SA,bioenergy_biogas,-34.835138,138.548949
WINGF2,Wingfield 2,SA,bioenergy_biogas,-34.835138,138.548949
WINTSF1,Winton,VIC,solar_utility,-36.499695,146.114554
WIVENHOE,Wivenhoe,QLD,pumps,-27.372224,152.632362
WIVENSH,Wivenhoe,QLD,hydro,-27.394592,152.609237
WKIEWA,West Kiewa,VIC,hydro,-36.759674,147.186082
WLWLSF,Walla Walla,NSW,solar_utility,-35.746481,146.961838
WNSF,Wangaratta,VIC,solar_utility,-36.326757,146.359901
WOLARSF,Wollar,NSW,solar_utility,-32.407631,149.940737
WOLLERT,Wollert,VIC,bioenergy_biogas,-37.591792,145.043033
WONWP,Wonthaggi,VIC,wind,-38.60513,145.546292
WOODLWN,Woodlawn,NSW,wind,-35.081675,149.570511
WOOLGSF,Woolooga,QLD,solar_utility,-26.084522,152.441226
WOOLNTH1,Woolnorth,TAS,wind,-40.736375,144.694821
WOYWOY,Woy Woy,NSW,bioenergy_biogas,-33.506914,151.291606
WPWF,Wattle Point,SA,wind,-35.11541,137.718672
WRSF1,White Rock Solar Farm,NSW,solar_utility,-29.763292,151.552402
WRWF1,White Rock Wind Farm,NSW,wind,-29.7718,151.5755
WSTWYSF,West Wyalong,NSW,solar_utility,-33.795635,147.314545
WTAHB,Waratah Super Battery,NSW,battery,-33.209781,151.544911
WUNUSF,Wunghnu,VIC,solar_utility,-36.164387,145.403731
WW,Wallerawang,NSW,coal_black,-33.403889,150.084444
WYANGALA,Wyangala A,NSW,hydro,-33.980371,148.947377
WYANGALB,Wyangala B,NSW,hydro,-33.980371,148.947377
WYASF,Wyalong,NSW,solar_utility,-33.804939,147.295155
WYNDW,Wyndham,VIC,bioenergy_biogas,-37.935372,144.5898
YABULU,Townsville,QLD,gas_ccgt,-19.200374,146.618265
YALLOURN,Yallourn W,VIC,coal_brown,-38.177596,146.347508
YAMBUK,Yambuk,VIC,wind,-38.305278,142.018439
YANDIN,Yandin,WEM,wind,-30.680971,115.694249
YARANSF,Yarranlea,QLD,solar_utility,-27.708939,151.532696
YARWUN,Yarwun,QLD,gas_ccgt,-23.8302,151.149692
YATSF1,Yatpool,VIC,solar_utility,-34.38073,142.20534
YAWWF,Yawong,VIC,wind,-36.471022,143.361722
YENDONWF,Yendon,VIC,wind,-37.630952,144.022463
YSWF,Yaloak South,VIC,wind,-37.716474,144.241947
YWNGAHYD,Yarrawonga,VIC,hydro,-36.009466,145.999568
